left_row_id,key,left_payload
1967,38,3160
1968,48,98163
1969,60,62767
1970,63,94888
1971,86,17066
1972,2,21639
1973,88,1074
1974,72,46512
1975,11,84308
1976,64,29321
1977,77,69877
1978,81,34925
1979,72,81721
1980,21,40735
1981,18,68117
1982,94,40026
1983,64,94504
1984,82,2160
1985,95,48941
1986,38,79437
1987,32,76977
1988,11,14679
1989,45,61076
1990,89,47205
1991,33,12022
1992,41,6773
1993,8,67164
1994,11,73756
1995,86,23465
1996,51,51138
1997,88,30233
1998,41,61498
1999,17,74025
2000,76,51449
2001,46,84518
2002,32,902
2003,79,87981
2004,80,83598
2005,54,2882
2006,86,29864
2007,92,5623
2008,20,1379
2009,33,83169
2010,74,93848
2011,40,71187
2012,32,45202
2013,97,59252
2014,2,72573
2015,97,39256
2016,33,63213
2017,77,50211
2018,30,22500
2019,33,51629
2020,77,61361
2021,26,4604
2022,22,93310
2023,66,85474
2024,38,12633
2025,90,30608
2026,46,91874
2027,15,65757
2028,98,46995
2029,44,63383
2030,49,70355
2031,75,56345
2032,61,53776
2033,67,7350
2034,6,71155
2035,9,27465
2036,6,42625
2037,73,37345
2038,95,83792
2039,32,24300
2040,41,47976
2041,76,1463
2042,8,81442
2043,72,90457
2044,50,81789
2045,92,40582
2046,62,71290
2047,84,14176
2048,62,6192
2049,7,83435
2050,75,84519
2051,84,80159
2052,80,66538
2053,4,47646
2054,6,23284
2055,58,86972
2056,22,92760
2057,26,59124
2058,3,30025
2059,41,49631
2060,60,30735
2061,14,516
2062,75,66728
2063,82,97801
2064,12,46217
2065,87,71834
2066,12,58756
2067,13,27857
2068,25,73871
2069,45,24163
2070,19,6009
2071,55,7988
2072,100,62533
2073,45,96503
2074,8,3333
2075,93,66324
2076,53,38991
2077,55,9874
2078,32,82543
2079,51,85762
2080,44,36445
2081,82,35341
2082,70,5034
2083,18,73325
2084,83,15690
2085,22,87135
2086,37,95240
2087,96,67
2088,56,45247
2089,59,7534
2090,3,80640
2091,28,70153
2092,74,59659
2093,35,38499
2094,61,11773
2095,93,89386
2096,54,49037
2097,63,58532
2098,79,12941
2099,97,16933
2100,7,95306
2101,76,56828
2102,49,61432
2103,94,24649
2104,85,32967
2105,31,27778
2106,58,32568
2107,61,17175
2108,24,42599
2109,20,59200
2110,37,13799
2111,4,65365
2112,92,17559
2113,20,61085
2114,60,44238
2115,24,65498
2116,50,179
2117,49,86007
2118,51,17119
2119,96,22617
2120,36,799
2121,98,7602
2122,100,25364
2123,66,2796
2124,79,97463
2125,34,45265
2126,36,72834
2127,6,3085
2128,39,95866
2129,42,76647
2130,58,732
2131,12,1130
2132,3,28023
2133,18,1606
2134,40,77507
2135,21,44131
2136,15,29266
2137,97,32331
2138,99,68470
2139,26,15188
2140,8,25792
2141,100,90437
2142,94,70611
2143,87,91963
2144,42,39868
2145,44,894
2146,14,99695
2147,78,19774
2148,2,4240
2149,37,20864
2150,69,51416
2151,38,68969
2152,41,60431
2153,62,1516
2154,60,97207
2155,14,14606
2156,89,56241
2157,84,5587
2158,2,31187
2159,70,26929
2160,17,98265
2161,89,83088
2162,28,87030
2163,66,20712
2164,35,54963
2165,5,20040
2166,65,36562
2167,40,75484
2168,76,97872
2169,56,81396
2170,36,88659
2171,45,1578
2172,23,28351
2173,47,33799
2174,31,97435
2175,11,81418
2176,10,10786
2177,67,72228
2178,14,61958
2179,80,65432
2180,74,17298
2181,93,71895
2182,10,63773
2183,76,19582
2184,94,55193
2185,1,1463
2186,5,64174
2187,20,15512
2188,8,76107
2189,43,48666
2190,76,44415
2191,1,81011
2192,57,72574
2193,64,93666
2194,84,13387
2195,28,54461
2196,37,6222
2197,47,23475
2198,76,21046
2199,37,91320
2200,49,4923
2201,44,22707
2202,56,42772
2203,28,52336
2204,79,98016
2205,6,52950
2206,61,70715
2207,20,95559
2208,78,15241
2209,2,91757
2210,73,2717
2211,37,16575
2212,20,83256
2213,26,73718
2214,29,44067
2215,1,61827
2216,35,20214
2217,70,71917
2218,59,66152
2219,69,50907
2220,33,464
2221,51,31974
2222,78,74695
2223,12,20652
2224,20,68695
2225,53,20009
2226,88,70475
2227,43,38186
2228,98,87925
2229,89,74418
2230,50,71140
2231,29,34981
2232,57,22505
2233,39,54971
2234,95,16767
2235,56,93923
2236,43,11696
2237,50,17797
2238,23,42544
2239,44,14560
2240,38,33140
2241,84,8803
2242,23,73844
2243,45,40206
2244,52,98751
2245,80,34160
2246,50,11517
2247,8,50493
2248,85,29087
2249,1,30481
2250,8,52092
2251,29,47767
2252,96,38738
2253,5,9266
2254,86,70991
2255,47,91718
2256,34,15387
2257,65,37426
2258,55,43255
2259,90,89864
2260,43,53635
2261,74,86718
2262,30,47663
2263,82,86989
2264,17,99288
2265,26,87528
2266,8,75453
2267,47,10144
2268,76,91392
2269,91,15582
2270,72,67444
2271,89,29425
2272,46,88845
2273,68,41985
2274,33,41506
2275,1,62700
2276,19,26958
2277,31,25465
2278,80,23650
2279,14,42066
2280,53,92662
2281,48,34759
2282,69,5597
2283,90,16375
2284,62,3776
2285,92,27389
2286,66,21030
2287,64,83982
2288,70,53640
2289,63,14646
2290,73,31106
2291,33,13669
2292,41,15961
2293,89,11358
2294,48,64605
2295,13,51797
2296,73,15805
2297,77,14627
2298,31,28133
2299,75,7952
2300,68,6450
2301,98,19066
2302,4,9131
2303,19,89361
2304,70,62288
2305,98,51703
2306,82,36994
2307,13,31876
2308,23,6055
2309,83,99810
2310,75,48518
2311,1,76369
2312,88,29671
2313,54,49113
2314,71,88389
2315,89,89157
2316,85,28308
2317,15,67088
2318,65,47923
2319,76,63081
2320,71,93349
2321,15,79336
2322,21,26313
2323,19,66986
2324,60,57609
2325,93,89963
2326,89,40278
2327,33,31552
2328,49,89814
2329,96,56598
2330,35,45213
2331,44,9638
2332,90,43259
2333,11,35694
2334,99,9825
2335,72,26951
2336,78,23489
2337,74,216
2338,66,11524
2339,46,75901
2340,9,68690
2341,3,23835
2342,85,34475
2343,26,43067
2344,72,99872
2345,48,10401
2346,66,10346
2347,70,33897
2348,28,85431
2349,93,28900
2350,26,28230
2351,25,5584
2352,12,4898
2353,5,71538
2354,98,4568
2355,48,74808
2356,37,77240
2357,79,13330
2358,44,71793
2359,100,229
2360,15,90283
2361,43,82215
2362,48,37053
2363,87,57770
2364,70,46033
2365,46,88722
2366,43,33687
2367,21,76982
2368,23,98803
2369,80,63262
2370,47,2810
2371,15,41786
2372,25,36548
2373,36,42819
2374,75,71928
2375,51,65682
2376,15,79466
2377,68,89863
2378,21,95528
2379,13,37334
2380,86,16577
2381,19,39406
2382,34,94001
2383,78,73780
2384,68,31602
2385,52,67947
2386,27,67357
2387,29,52117
2388,28,62895
2389,35,34636
2390,8,7466
2391,16,56755
2392,36,97976
2393,30,92851
2394,18,85120
2395,2,92692
2396,49,38872
2397,77,62875
2398,4,77734
2399,90,29512
2400,89,80961
2401,94,48822
2402,75,65777
2403,7,70168
2404,95,75136
2405,74,44463
2406,39,61383
2407,13,90195
2408,31,32575
2409,71,41911
2410,63,73532
2411,56,25187
2412,42,94782
2413,61,22814
2414,42,78813
2415,56,85526
2416,36,78283
2417,84,18558
2418,68,28061
2419,7,58867
2420,54,72105
2421,1,84578
2422,44,6081
2423,45,13855
2424,47,67696
2425,13,27026
2426,22,52983
2427,21,41082
2428,86,4369
2429,92,99622
2430,9,27095
2431,26,46041
2432,9,66767
2433,15,83054
2434,10,23992
2435,88,1302
2436,42,28611
2437,72,81464
2438,24,34679
2439,80,24467
2440,49,80441
2441,26,40876
2442,91,26082
2443,37,24355
2444,68,93298
2445,50,18301
2446,24,64385
2447,19,95028
2448,100,60893
2449,60,35526
2450,39,26533
2451,74,6465
2452,89,16563
2453,18,55515
2454,19,74220
2455,36,32635
2456,74,61
2457,97,9270
2458,55,63144
2459,69,23066
2460,47,2896
2461,49,80860
2462,99,12353
2463,98,49738
2464,33,96427
2465,21,32017
2466,81,61305
2467,22,11963
2468,48,33303
2469,37,85383
2470,15,4012
2471,35,19783
2472,92,67692
2473,71,39726
2474,32,9197
2475,11,43460
2476,10,87246
2477,73,78864
2478,78,32770
2479,77,24701
2480,57,80357
2481,25,76428
2482,2,5270
2483,64,43881
2484,35,8321
2485,7,49590
2486,85,76277
2487,18,35898
2488,67,58566
2489,42,30931
2490,39,57234
2491,41,82822
2492,75,14381
2493,24,76897
2494,60,70935
2495,46,55831
2496,19,5530
2497,68,94599
2498,90,82988
2499,42,49179
2500,32,6938
2501,39,39887
2502,36,49700
2503,97,76397
2504,36,90679
2505,3,25280
2506,73,38107
2507,8,79738
2508,97,40545
2509,70,8998
2510,41,85712
2511,68,40861
2512,13,3226
2513,49,59471
2514,60,63657
2515,2,51881
2516,60,61079
2517,5,88647
2518,44,76291
2519,27,56634
2520,32,26656
2521,21,43602
2522,8,3115
2523,72,26503
2524,50,49769
2525,67,48129
2526,44,20029
2527,58,55566
2528,3,83124
2529,86,35334
2530,70,3175
2531,2,35399
2532,87,35930
2533,44,4322
2534,2,95972
2535,81,55422
2536,35,72636
2537,98,23761
2538,87,11361
2539,30,10314
2540,8,85999
2541,22,5802
2542,44,14131
2543,58,14272
2544,36,16076
2545,69,18985
2546,77,88096
2547,93,60943
2548,31,12862
2549,47,98971
2550,55,82204
2551,80,71377
2552,62,61248
2553,30,69102
2554,55,20978
2555,16,50618
2556,12,57474
2557,17,86655
2558,16,88178
2559,12,72903
2560,8,92173
2561,84,15631
2562,3,20057
2563,16,7383
2564,30,55740
2565,23,81686
2566,92,48640
2567,5,59839
2568,84,46042
2569,65,993
2570,30,72395
2571,21,67658
2572,84,27161
2573,70,45157
2574,22,51376
2575,82,86443
2576,72,19573
2577,32,4137
2578,33,61869
2579,16,82264
2580,76,32168
2581,38,15480
2582,98,31377
2583,14,4824
2584,36,70457
2585,97,19586
2586,23,17273
2587,66,26620
2588,85,75070
2589,2,39896
2590,91,3721
2591,73,19268
2592,65,15697
2593,75,29969
2594,67,53365
2595,52,23346
2596,62,51568
2597,23,91230
2598,26,61608
2599,68,19386
2600,82,83659
2601,55,66901
2602,6,68245
2603,35,65426
2604,22,78519
2605,43,82845
2606,15,32920
2607,86,90698
2608,60,57197
2609,12,79402
2610,49,496
2611,42,44756
2612,38,67685
2613,82,33325
2614,45,78930
2615,35,1553
2616,30,51273
2617,88,35854
2618,30,32925
2619,78,74463
2620,6,96388
2621,67,23890
2622,80,54676
2623,7,73592
2624,52,70191
2625,14,22635
2626,73,32364
2627,15,63753
2628,21,77005
2629,35,56399
2630,66,98459
2631,91,40719
2632,2,82917
2633,35,26871
2634,82,37395
2635,78,52058
2636,20,79796
2637,82,80410
2638,10,13017
2639,25,42138
2640,66,154
2641,25,7854
2642,54,12380
2643,33,15793
2644,36,38368
2645,95,18101
2646,14,63457
2647,65,11050
2648,80,787
2649,54,69905
2650,52,30700
2651,3,47692
2652,99,37041
2653,41,92991
2654,6,57987
2655,25,38763
2656,13,23601
2657,98,94775
2658,8,90778
2659,21,19811
2660,98,85704
2661,68,87348
2662,25,57205
2663,79,20086
2664,68,46855
2665,45,74798
2666,60,84270
2667,12,39780
2668,32,56208
2669,96,94616
2670,92,33981
2671,13,56118
2672,31,14142
2673,78,9345
2674,20,15897
2675,18,89354
2676,93,29814
2677,60,84432
2678,63,65680
2679,6,10682
2680,32,72904
2681,93,3229
2682,43,4583
2683,2,78684
2684,60,11398
2685,23,38800
2686,83,37012
2687,31,79184
2688,5,93255
2689,83,44265
2690,34,42318
2691,10,47915
2692,89,84634
2693,2,45255
2694,11,40097
2695,50,53786
2696,31,52345
2697,56,82644
2698,79,68547
2699,73,71092
2700,87,65604
2701,83,28413
2702,9,51659
2703,99,99842
2704,21,49550
2705,73,11550
2706,28,71217
2707,62,25740
2708,7,21210
2709,80,87969
2710,16,15117
2711,97,20046
2712,4,26328
2713,4,35710
2714,40,43618
2715,17,60140
2716,52,26906
2717,93,64149
2718,52,72604
2719,36,98096
2720,38,42920
2721,50,83522
2722,63,92906
2723,63,83401
2724,62,88151
2725,99,58447
2726,7,52429
2727,27,47895
2728,92,81150
2729,86,6448
2730,14,5500
2731,71,39042
2732,86,31316
2733,5,1300
2734,55,4995
2735,2,95415
2736,62,81164
2737,91,7490
2738,21,91648
2739,79,32356
2740,21,73806
2741,10,68368
2742,87,77356
2743,58,90350
2744,39,87174
2745,5,1997
2746,65,44388
2747,13,3090
2748,85,98828
2749,90,20660
2750,85,45179
2751,53,95966
2752,82,81269
2753,45,85043
2754,32,70727
2755,36,70112
2756,81,34566
2757,99,89243
2758,60,22885
2759,11,17200
2760,63,60039
2761,21,57787
2762,52,49295
2763,55,78016
2764,26,34179
2765,68,12666
2766,34,535
2767,52,91829
2768,82,36133
2769,99,36111
2770,93,58755
2771,52,63581
2772,29,22470
2773,38,64017
2774,42,46234
2775,21,66709
2776,42,58233
2777,13,93451
2778,64,86438
2779,17,34410
2780,9,19325
2781,41,8739
2782,1,24055
2783,2,29710
2784,60,85644
2785,48,364
2786,29,10359
2787,97,3241
2788,10,72202
2789,58,45690
2790,60,1937
2791,21,91075
2792,28,43966
2793,75,77535
2794,34,883
2795,8,20225
2796,59,30826
2797,86,70741
2798,72,28886
2799,49,40057
2800,79,3204
2801,17,60242
2802,60,2245
2803,87,98323
2804,88,68620
2805,45,21585
2806,83,8522
2807,69,50018
2808,32,33542
2809,44,29064
2810,65,70269
2811,87,64953
2812,8,93055
2813,77,39564
2814,72,39753
2815,87,95234
2816,43,2568
2817,1,16122
2818,51,1675
2819,24,76412
2820,99,66276
2821,24,67082
2822,17,29141
2823,5,9328
2824,20,70664
2825,21,23332
2826,58,23005
2827,31,10493
2828,100,54798
2829,11,58096
2830,52,13750
2831,15,63218
2832,83,89045
2833,7,9046
2834,28,20117
2835,51,18668
2836,58,75058
2837,5,74206
2838,5,27303
2839,94,11284
2840,96,30936
2841,8,72535
2842,64,94343
2843,10,31625
2844,38,13441
2845,96,46502
2846,92,87334
2847,81,1270
2848,95,7869
2849,8,30252
2850,25,77910
2851,73,84524
2852,66,38730
2853,79,15735
2854,50,42430
2855,67,41338
2856,49,40326
2857,36,83601
2858,68,62515
2859,78,8434
2860,41,9112
2861,89,63754
2862,62,80584
2863,10,73621
2864,21,21752
2865,36,16454
2866,12,85845
2867,91,38969
2868,2,30078
2869,13,34776
2870,53,58145
2871,32,48571
2872,95,46098
2873,16,24504
2874,32,2780
2875,32,86841
2876,98,756
2877,11,39264
2878,10,55088
2879,15,42282
2880,17,51483
2881,40,54858
2882,18,17401
2883,55,40116
2884,73,14250
2885,25,46826
2886,59,24601
2887,78,37707
2888,89,19223
2889,22,99042
2890,30,41140
2891,84,41303
2892,85,94685
2893,44,87839
2894,32,68160
2895,51,8647
2896,46,13544
2897,21,94497
2898,99,22786
2899,32,78354
2900,94,31407
2901,39,88993
2902,12,51429
2903,47,23778
2904,18,57940
2905,21,53027
2906,13,86451
2907,21,29554
2908,8,23549
2909,46,63222
2910,7,37266
2911,23,40702
2912,96,51288
2913,75,6728
2914,86,50718
2915,22,32428
2916,89,16693
2917,22,31626
2918,92,24919
2919,29,41137
2920,13,52410
2921,82,15578
2922,2,85156
2923,29,99247
2924,85,81732
2925,79,27690
2926,52,11155
2927,27,94949
2928,50,21342
2929,95,97555
2930,79,74682
2931,23,46331
2932,88,87760
2933,44,68417
2934,77,86808
2935,22,33314
2936,43,46901
2937,37,78841
2938,61,34696
2939,97,30226
2940,56,86073
2941,3,96368
2942,63,49157
2943,19,77210
2944,23,87454
2945,29,27830
2946,30,80909
2947,39,25939
2948,25,59165
2949,8,54531
2950,58,68200
2951,16,60283
2952,72,47802
2953,1,9466
2954,5,3327
2955,3,3660
2956,65,60290
2957,4,27595
2958,99,4764
2959,96,88658
2960,64,10829
2961,98,47589
2962,89,11222
2963,10,11212
2964,21,13570
2965,46,96895
2966,91,37861
2967,27,71559
2968,66,45338
2969,41,52312
2970,13,13516
2971,9,71696
2972,36,87228
2973,86,24905
2974,90,59936
2975,58,43791
2976,54,68581
2977,12,75149
2978,81,5637
2979,78,77130
2980,14,2893
2981,34,21673
2982,53,5813
2983,20,96622
2984,75,655
2985,16,54634
2986,95,17144
2987,70,55935
2988,56,67335
2989,83,29088
2990,58,11619
2991,4,8447
2992,4,87183
2993,20,48868
2994,10,51029
2995,24,60102
2996,99,27201
2997,26,95108
2998,37,88075
2999,85,61466
3000,54,86437
3001,21,87893
3002,74,88560
3003,38,39149
3004,46,82929
3005,4,20699
3006,60,42471
3007,57,92072
3008,45,51661
3009,20,53911
3010,17,35451
3011,71,56464
3012,4,33758
3013,93,78013
3014,14,70248
3015,3,72016
3016,88,31391
3017,80,56117
3018,58,13162
3019,55,32153
3020,4,80172
3021,24,95834
3022,34,20837
3023,30,90368
3024,82,66544
3025,19,55649
3026,31,26332
3027,60,10764
3028,60,69445
3029,19,93110
3030,49,19188
3031,63,11958
3032,83,4380
3033,22,27960
3034,24,82019
3035,76,27106
3036,30,878
3037,58,48354
3038,31,83789
3039,100,96871
3040,64,84586
3041,19,83309
3042,48,51568
3043,45,57914
3044,100,2638
3045,94,72779
3046,55,42026
3047,55,99509
3048,97,82465
3049,18,28743
3050,63,11832
3051,92,85093
3052,47,90880
3053,75,88371
3054,57,46763
3055,45,98959
3056,33,88742
3057,17,18831
3058,70,55045
3059,4,73949
3060,20,69203
3061,47,37046
3062,91,86323
3063,15,71052
3064,70,26628
3065,47,15199
3066,78,69522
3067,75,29476
3068,9,19404
3069,90,3682
3070,16,91556
3071,69,93123
3072,61,42293
3073,10,5630
3074,50,93247
3075,3,95865
3076,77,77815
3077,94,8418
3078,70,34766
3079,81,74500
3080,51,56575
3081,19,90546
3082,42,27676
3083,35,72268
3084,46,40564
3085,26,11333
3086,69,19178
3087,93,89255
3088,64,68448
3089,37,57105
3090,84,84336
3091,49,80731
3092,21,4952
3093,74,28334
3094,64,21674
3095,5,40871
3096,100,71102
3097,70,22822
3098,90,25495
3099,4,99478
3100,39,74161
3101,35,836
3102,1,18647
3103,24,77361
3104,57,37336
3105,100,69352
3106,70,2430
3107,41,41951
3108,54,60655
3109,46,68144
3110,60,91187
3111,60,97890
3112,57,77528
3113,31,86705
3114,84,31100
3115,24,39386
3116,89,35920
3117,36,96953
3118,85,60783
3119,30,71117
3120,24,72591
3121,30,89627
3122,86,40388
3123,92,15824
3124,7,46016
3125,35,15340
3126,55,3492
3127,92,707
3128,14,97494
3129,10,15729
3130,80,6998
3131,16,60409
3132,54,58098
3133,95,38524
3134,89,25164
3135,77,17719
3136,70,87509
3137,44,83768
3138,73,39620
3139,45,12127
3140,100,89132
3141,56,64927
3142,84,40634
3143,82,77655
3144,57,3318
3145,21,44981
3146,68,44116
3147,50,61647
3148,33,43159
3149,91,55964
3150,7,47632
3151,70,49317
3152,15,59343
3153,82,15505
3154,32,68594
3155,75,26661
3156,20,37197
3157,88,65939
3158,15,8606
3159,48,57389
3160,71,81298
3161,21,55502
3162,42,53310
3163,26,27044
3164,14,33636
3165,57,79316
3166,37,80692
3167,58,33133
3168,21,89388
3169,82,15367
3170,69,93945
3171,3,72108
3172,87,62581
3173,90,57890
3174,37,79554
3175,88,39237
3176,49,4151
3177,19,19424
3178,89,4138
3179,85,29993
3180,12,94439
3181,61,44922
3182,41,79370
3183,33,66918
3184,50,73691
3185,68,34236
3186,71,78976
3187,86,19123
3188,33,23957
3189,81,63880
3190,24,58561
3191,61,82801
3192,61,68686
3193,98,24661
3194,28,86065
3195,58,1169
3196,43,45125
3197,41,35898
3198,39,15033
3199,86,52798
3200,49,35295
3201,17,43828
3202,98,3517
3203,70,19752
3204,70,30374
3205,98,30271
3206,65,10387
3207,74,64818
3208,85,65185
3209,5,79694
3210,2,37880
3211,22,49598
3212,57,39133
3213,66,3627
3214,74,85937
3215,98,81516
3216,16,77066
3217,51,55391
3218,39,16646
3219,86,91961
3220,76,54145
3221,88,13383
3222,40,4026
3223,38,43227
3224,60,79381
3225,59,69712
3226,10,96056
3227,99,74711
3228,64,3444
3229,63,21396
3230,49,10726
3231,64,33462
3232,32,41116
3233,7,96888
3234,21,83733
3235,20,79791
3236,26,79558
3237,68,71261
3238,86,28691
3239,15,1408
3240,85,73569
3241,79,58561
3242,86,47341
3243,92,17795
3244,14,19882
3245,27,86293
3246,40,94953
3247,58,49704
3248,28,44355
3249,26,91289
3250,63,78463
3251,66,99302
3252,25,14391
3253,3,87476
3254,72,27308
3255,44,96365
3256,97,94050
3257,42,24503
3258,99,95600
3259,6,22487
3260,39,38259
3261,52,57717
3262,23,97229
3263,89,81495
3264,50,82769
3265,43,10749
3266,19,62786
3267,69,76051
3268,51,22739
3269,11,74232
3270,12,73607
3271,74,93302
3272,8,41663
3273,24,96298
3274,92,82235
3275,41,15124
3276,36,25617
3277,85,11183
3278,72,90370
3279,55,98879
3280,9,62014
3281,47,31332
3282,15,46099
3283,48,26129
3284,82,31557
3285,42,87506
3286,60,21877
3287,84,8950
3288,70,51963
3289,12,90055
3290,2,71207
3291,7,24100
3292,80,12717
3293,3,52612
3294,3,38886
3295,27,53145
3296,40,65221
3297,33,7838
3298,92,49356
3299,1,47300
3300,8,19160
3301,32,51013
3302,48,59306
3303,4,87097
3304,94,17107
3305,70,58124
3306,19,8721
3307,32,37662
3308,9,93899
3309,12,93795
3310,11,87319
3311,46,21121
3312,16,19791
3313,1,58656
3314,63,59644
3315,21,93449
3316,30,47375
3317,13,42908
3318,34,50072
3319,4,34813
3320,28,49571
3321,95,50902
3322,59,60187
3323,27,50252
3324,69,65172
3325,25,36161
3326,3,19157
3327,97,76209
3328,68,79981
3329,25,72321
3330,20,17930
3331,34,66607
3332,26,88443
3333,5,62560
